activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Trello,Personal Adjusting,1540159273005,Mon Oct 22 00:01:13 GMT+02:00 2018,1540159869559,Mon Oct 22 00:11:09 GMT+02:00 2018,596554,9 min
Series / Docu,Entertainment,1540159869559,Mon Oct 22 00:11:09 GMT+02:00 2018,1540162820068,Mon Oct 22 01:00:20 GMT+02:00 2018,2950509,49 min
Sleep,Refresh,1540162820068,Mon Oct 22 01:00:20 GMT+02:00 2018,1540189458018,Mon Oct 22 08:24:18 GMT+02:00 2018,26637950,7 h 23 min
Moving - youtube,Transport,1540189458018,Mon Oct 22 08:24:18 GMT+02:00 2018,1540189949037,Mon Oct 22 08:32:29 GMT+02:00 2018,491019,8 min
Trello,Personal Adjusting,1540189949037,Mon Oct 22 08:32:29 GMT+02:00 2018,1540190444165,Mon Oct 22 08:40:44 GMT+02:00 2018,495128,8 min
Moving - youtube,Transport,1540190444165,Mon Oct 22 08:40:44 GMT+02:00 2018,1540190532145,Mon Oct 22 08:42:12 GMT+02:00 2018,87980,1 min
Clean,Personal Hygiene,1540190532145,Mon Oct 22 08:42:12 GMT+02:00 2018,1540191903726,Mon Oct 22 09:05:03 GMT+02:00 2018,1371581,22 min
Food,Feeding,1540191903726,Mon Oct 22 09:05:03 GMT+02:00 2018,1540193553126,Mon Oct 22 09:32:33 GMT+02:00 2018,1649400,27 min
Moving - youtube,Transport,1540193553126,Mon Oct 22 09:32:33 GMT+02:00 2018,1540194820783,Mon Oct 22 09:53:40 GMT+02:00 2018,1267657,21 min
Moving - youtube,Transport,1540194820783,Mon Oct 22 09:53:40 GMT+02:00 2018,1540195000783,Mon Oct 22 09:56:40 GMT+02:00 2018,180000,3 min
Work - Purpose,Purpose,1540195000783,Mon Oct 22 09:56:40 GMT+02:00 2018,1540197578247,Mon Oct 22 10:39:38 GMT+02:00 2018,2577464,42 min
Social - Real Life,Social - Persist,1540197578247,Mon Oct 22 10:39:38 GMT+02:00 2018,1540197788133,Mon Oct 22 10:43:08 GMT+02:00 2018,209886,3 min
Work - Purpose,Purpose,1540197788133,Mon Oct 22 10:43:08 GMT+02:00 2018,1540201266873,Mon Oct 22 11:41:06 GMT+02:00 2018,3478740,57 min
Moving - youtube,Transport,1540201266873,Mon Oct 22 11:41:06 GMT+02:00 2018,1540202430223,Mon Oct 22 12:00:30 GMT+02:00 2018,1163350,19 min
Work - Purpose,Purpose,1540202430223,Mon Oct 22 12:00:30 GMT+02:00 2018,1540205794557,Mon Oct 22 12:56:34 GMT+02:00 2018,3364334,56 min
WC ,Personal Hygiene,1540205794557,Mon Oct 22 12:56:34 GMT+02:00 2018,1540206394557,Mon Oct 22 13:06:34 GMT+02:00 2018,600000,10 min
Work - Learning,Value Contribution,1540206394557,Mon Oct 22 13:06:34 GMT+02:00 2018,1540209080613,Mon Oct 22 13:51:20 GMT+02:00 2018,2686056,44 min
Work - Purpose,Purpose,1540209080613,Mon Oct 22 13:51:20 GMT+02:00 2018,1540213628204,Mon Oct 22 15:07:08 GMT+02:00 2018,4547591,1 h 15 min
Org ,Org & Duty,1540213628204,Mon Oct 22 15:07:08 GMT+02:00 2018,1540214979284,Mon Oct 22 15:29:39 GMT+02:00 2018,1351080,22 min
Work - Task planning,Value Contribution,1540214979284,Mon Oct 22 15:29:39 GMT+02:00 2018,1540215258283,Mon Oct 22 15:34:18 GMT+02:00 2018,278999,4 min
Work - Purpose,Purpose,1540215258283,Mon Oct 22 15:34:18 GMT+02:00 2018,1540217394419,Mon Oct 22 16:09:54 GMT+02:00 2018,2136136,35 min
Work - Org,Value Contribution,1540217394419,Mon Oct 22 16:09:54 GMT+02:00 2018,1540217626130,Mon Oct 22 16:13:46 GMT+02:00 2018,231711,3 min
Work - Purpose,Purpose,1540217626130,Mon Oct 22 16:13:46 GMT+02:00 2018,1540218290826,Mon Oct 22 16:24:50 GMT+02:00 2018,664696,11 min
Work - Social,Value Contribution,1540218290826,Mon Oct 22 16:24:50 GMT+02:00 2018,1540218600867,Mon Oct 22 16:30:00 GMT+02:00 2018,310041,5 min
Work - Social,Value Contribution,1540218600867,Mon Oct 22 16:30:00 GMT+02:00 2018,1540221167432,Mon Oct 22 17:12:47 GMT+02:00 2018,2566565,42 min
Work - Meeting,Value Contribution,1540221167432,Mon Oct 22 17:12:47 GMT+02:00 2018,1540221235138,Mon Oct 22 17:13:55 GMT+02:00 2018,67706,1 min
Work - Social,Value Contribution,1540221235138,Mon Oct 22 17:13:55 GMT+02:00 2018,1540222140348,Mon Oct 22 17:29:00 GMT+02:00 2018,905210,15 min
Work - Learning,Value Contribution,1540222140348,Mon Oct 22 17:29:00 GMT+02:00 2018,1540222200203,Mon Oct 22 17:30:00 GMT+02:00 2018,59855,1 min
Work - Social,Value Contribution,1540222200203,Mon Oct 22 17:30:00 GMT+02:00 2018,1540222410406,Mon Oct 22 17:33:30 GMT+02:00 2018,210203,3 min
WC ,Personal Hygiene,1540222410406,Mon Oct 22 17:33:30 GMT+02:00 2018,1540223010406,Mon Oct 22 17:43:30 GMT+02:00 2018,600000,10 min
Moving - Analyzing,Transport,1540223010406,Mon Oct 22 17:43:30 GMT+02:00 2018,1540223453094,Mon Oct 22 17:50:53 GMT+02:00 2018,442688,7 min
Work - Social,Value Contribution,1540223453094,Mon Oct 22 17:50:53 GMT+02:00 2018,1540223650184,Mon Oct 22 17:54:10 GMT+02:00 2018,197090,3 min
University - Orga,Org & Duty,1540223650184,Mon Oct 22 17:54:10 GMT+02:00 2018,1540224767814,Mon Oct 22 18:12:47 GMT+02:00 2018,1117630,18 min
