,activity,category,start_date[ms],start_date,end_date[ms],end_date,activityDuration[m],id,user_id
0,Trello,Personal Adjusting,1540159273005,Mon Oct 22 00:01:13 GMT+02:00 2018,1540159869559,Mon Oct 22 00:11:09 GMT+02:00 2018,9,1,1
1,Series / Docu,Entertainment,1540159869559,Mon Oct 22 00:11:09 GMT+02:00 2018,1540162820068,Mon Oct 22 01:00:20 GMT+02:00 2018,49,2,1
2,Sleep,Refresh,1540162820068,Mon Oct 22 01:00:20 GMT+02:00 2018,1540189458018,Mon Oct 22 08:24:18 GMT+02:00 2018,443,3,1
3,Moving - youtube,Transport,1540189458018,Mon Oct 22 08:24:18 GMT+02:00 2018,1540189949037,Mon Oct 22 08:32:29 GMT+02:00 2018,8,4,1
4,Trello,Personal Adjusting,1540189949037,Mon Oct 22 08:32:29 GMT+02:00 2018,1540190444165,Mon Oct 22 08:40:44 GMT+02:00 2018,8,5,1
5,Moving - youtube,Transport,1540190444165,Mon Oct 22 08:40:44 GMT+02:00 2018,1540190532145,Mon Oct 22 08:42:12 GMT+02:00 2018,1,6,1
6,Clean,Personal Hygiene,1540190532145,Mon Oct 22 08:42:12 GMT+02:00 2018,1540191903726,Mon Oct 22 09:05:03 GMT+02:00 2018,22,7,1
7,Food,Feeding,1540191903726,Mon Oct 22 09:05:03 GMT+02:00 2018,1540193553126,Mon Oct 22 09:32:33 GMT+02:00 2018,27,8,1
8,Moving - youtube,Transport,1540193553126,Mon Oct 22 09:32:33 GMT+02:00 2018,1540194820783,Mon Oct 22 09:53:40 GMT+02:00 2018,21,9,1
9,Moving - youtube,Transport,1540194820783,Mon Oct 22 09:53:40 GMT+02:00 2018,1540195000783,Mon Oct 22 09:56:40 GMT+02:00 2018,3,10,1
10,Work - Purpose,Purpose,1540195000783,Mon Oct 22 09:56:40 GMT+02:00 2018,1540197578247,Mon Oct 22 10:39:38 GMT+02:00 2018,42,11,1
11,Social - Real Life,Social - Persist,1540197578247,Mon Oct 22 10:39:38 GMT+02:00 2018,1540197788133,Mon Oct 22 10:43:08 GMT+02:00 2018,3,12,1
12,Work - Purpose,Purpose,1540197788133,Mon Oct 22 10:43:08 GMT+02:00 2018,1540201266873,Mon Oct 22 11:41:06 GMT+02:00 2018,57,13,1
13,Moving - youtube,Transport,1540201266873,Mon Oct 22 11:41:06 GMT+02:00 2018,1540202430223,Mon Oct 22 12:00:30 GMT+02:00 2018,19,14,1
14,Work - Purpose,Purpose,1540202430223,Mon Oct 22 12:00:30 GMT+02:00 2018,1540205794557,Mon Oct 22 12:56:34 GMT+02:00 2018,56,15,1
15,WC ,Personal Hygiene,1540205794557,Mon Oct 22 12:56:34 GMT+02:00 2018,1540206394557,Mon Oct 22 13:06:34 GMT+02:00 2018,10,16,1
16,Work - Learning,Value Contribution,1540206394557,Mon Oct 22 13:06:34 GMT+02:00 2018,1540209080613,Mon Oct 22 13:51:20 GMT+02:00 2018,44,17,1
17,Work - Purpose,Purpose,1540209080613,Mon Oct 22 13:51:20 GMT+02:00 2018,1540213628204,Mon Oct 22 15:07:08 GMT+02:00 2018,75,18,1
18,Org ,Org & Duty,1540213628204,Mon Oct 22 15:07:08 GMT+02:00 2018,1540214979284,Mon Oct 22 15:29:39 GMT+02:00 2018,22,19,1
19,Work - Task planning,Value Contribution,1540214979284,Mon Oct 22 15:29:39 GMT+02:00 2018,1540215258283,Mon Oct 22 15:34:18 GMT+02:00 2018,4,20,1
20,Work - Purpose,Purpose,1540215258283,Mon Oct 22 15:34:18 GMT+02:00 2018,1540217394419,Mon Oct 22 16:09:54 GMT+02:00 2018,35,21,1
21,Work - Org,Value Contribution,1540217394419,Mon Oct 22 16:09:54 GMT+02:00 2018,1540217626130,Mon Oct 22 16:13:46 GMT+02:00 2018,3,22,1
22,Work - Purpose,Purpose,1540217626130,Mon Oct 22 16:13:46 GMT+02:00 2018,1540218290826,Mon Oct 22 16:24:50 GMT+02:00 2018,11,23,1
23,Work - Social,Value Contribution,1540218290826,Mon Oct 22 16:24:50 GMT+02:00 2018,1540218600867,Mon Oct 22 16:30:00 GMT+02:00 2018,5,24,1
24,Work - Social,Value Contribution,1540218600867,Mon Oct 22 16:30:00 GMT+02:00 2018,1540221167432,Mon Oct 22 17:12:47 GMT+02:00 2018,42,25,1
25,Work - Meeting,Value Contribution,1540221167432,Mon Oct 22 17:12:47 GMT+02:00 2018,1540221235138,Mon Oct 22 17:13:55 GMT+02:00 2018,1,26,1
