,id,category_name,timeslot,start_date,start_date_timestamp,end_date,end_date_timestamp,activity_name_Analyzing,activity_name_Beatbox,activity_name_Better Now,activity_name_Bike,activity_name_Celebration - Bar ,activity_name_Celebration - Club,activity_name_Chess,activity_name_Clean,activity_name_Cut hair,activity_name_Dance,activity_name_Drink - Shit,activity_name_Enjoying the moment ,activity_name_Food,activity_name_Food - Order,activity_name_Food - Prepare,activity_name_Food - restaurant,activity_name_Food - shit,activity_name_Health - bad,activity_name_Helpful Future,activity_name_House cleaning,activity_name_Karaoke,activity_name_Learning - Article,activity_name_Learning - Language,activity_name_Learning - university,activity_name_Life Overwhelmed,activity_name_Massage,activity_name_Movies,activity_name_Moving - Analyzing,activity_name_Moving - Social Media,activity_name_Moving - learn,activity_name_Moving - social,activity_name_Moving - youtube,activity_name_Museum,activity_name_Org ,activity_name_Org - Money,activity_name_Org - Paper,activity_name_Piano,activity_name_Playing,activity_name_Purpose,activity_name_Purpose - Creation,activity_name_Purpose - Learning,activity_name_Purpose - Teach,activity_name_Purpose - Transpose Knowledge,activity_name_Samples - Better humans,activity_name_Series / Docu,activity_name_Shopping real/online,activity_name_Sleep,activity_name_Social - Awesome,activity_name_Social - Close,activity_name_Social - Family,activity_name_Social - Media,activity_name_Social - New,activity_name_Social - Real Life,activity_name_Social - care of others ,activity_name_Social - girl,activity_name_Special Place,activity_name_Sport,activity_name_Sunbath ,activity_name_Swimming,activity_name_Table Tennis,activity_name_Trello,activity_name_Trip to City Center,activity_name_Trip to Nature,activity_name_University - Orga,activity_name_University - Purpose,activity_name_University - Task ,activity_name_University - lectures boring,activity_name_University - overwhelmed,activity_name_WC ,activity_name_WC - Play,activity_name_WC - analyzing,activity_name_WC - learn,activity_name_Walking ,activity_name_Wasted,activity_name_Wasted - Moving,activity_name_Wasted - reading,activity_name_Wasted - sleep,activity_name_Wasted - social,activity_name_Wasted - watching,activity_name_Work - Learning,activity_name_Work - Meeting,activity_name_Work - Org,activity_name_Work - Purpose,activity_name_Work - Social,activity_name_Work - Task planning,activity_name_Work - wasted,activity_name_Youtube,activity_name_moving  - groceries,activity_name_moving - eat,activity_name_untracked,activity_name
0,0,Personal Adjusting,[0],Mon Oct 22 00:01:13 GMT+02:00 2018,1540159273005,Mon Oct 22 00:11:09 GMT+02:00 2018,1540159869559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trello
1,1,Entertainment,"[0, 1, 2]",Mon Oct 22 00:11:09 GMT+02:00 2018,1540159869559,Mon Oct 22 01:00:20 GMT+02:00 2018,1540162820068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Series / Docu
2,2,Refresh,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",Mon Oct 22 01:00:20 GMT+02:00 2018,1540162820068,Mon Oct 22 08:24:18 GMT+02:00 2018,1540189458018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sleep
3,3,Transport,"[16, 17]",Mon Oct 22 08:24:18 GMT+02:00 2018,1540189458018,Mon Oct 22 08:32:29 GMT+02:00 2018,1540189949037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moving - youtube
4,4,Personal Adjusting,[17],Mon Oct 22 08:32:29 GMT+02:00 2018,1540189949037,Mon Oct 22 08:40:44 GMT+02:00 2018,1540190444165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trello
5,5,Transport,[17],Mon Oct 22 08:40:44 GMT+02:00 2018,1540190444165,Mon Oct 22 08:42:12 GMT+02:00 2018,1540190532145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moving - youtube
6,6,Personal Hygiene,"[17, 18]",Mon Oct 22 08:42:12 GMT+02:00 2018,1540190532145,Mon Oct 22 09:05:03 GMT+02:00 2018,1540191903726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clean
7,7,Feeding,"[18, 19]",Mon Oct 22 09:05:03 GMT+02:00 2018,1540191903726,Mon Oct 22 09:32:33 GMT+02:00 2018,1540193553126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Food
8,8,Transport,[19],Mon Oct 22 09:32:33 GMT+02:00 2018,1540193553126,Mon Oct 22 09:53:40 GMT+02:00 2018,1540194820783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moving - youtube
9,9,Transport,[19],Mon Oct 22 09:53:40 GMT+02:00 2018,1540194820783,Mon Oct 22 09:56:40 GMT+02:00 2018,1540195000783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moving - youtube
